0000 0000 0000 0000 / 0000 0000 0000 0000 / 0027 0000 0000 0000 / 0027 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0011 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 
0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0027 0000 0000 0000 / 0027 0000 0000 0000 / 2001 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0011 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 
0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0027 0000 0000 0000 / 0027 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0011 0000 0000 0000 / 0011 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 
0002 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0027 0000 0000 0000 / 0027 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0011 0000 0000 0000 / 0011 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 
0020 0000 0000 0000 / 0002 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0027 0000 0000 0000 / 0027 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0011 0000 0000 0000 / 0011 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 
0020 0000 0000 0000 / 0020 0000 0000 0000 / 0002 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0027 0000 0000 0000 / 0027 0000 0000 0000 / 0029 0000 0000 0000 / 0029 0000 0000 0000 / 0029 0000 0000 0000 / 0029 0000 0000 0000 / 0029 0000 0000 0000 / 0029 0000 0000 0000 / 0029 0000 0000 0000 / 0030 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0033 0000 0000 0000 / 0033 0000 0000 0000 / 0011 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 
0020 0000 0000 0000 / 0020 0000 0000 0000 / 0020 0000 0000 0000 / 0002 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0010 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0022 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0030 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0033 0000 0000 0000 / 0033 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 
0020 0000 0000 0000 / 0020 0000 0000 0000 / 0020 0000 0000 0000 / 0020 0000 0000 0000 / 0002 0000 0000 0000 / 1010 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0010 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0030 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0033 0000 0000 0000 / 0033 0000 0000 0000 / 0033 0000 0000 0000 / 0033 0000 0000 0000 / 0033 0000 0000 0000 / 0033 0000 0000 0000 / 0033 0000 0000 0000 / 0034 0000 0000 0000 / 
0020 0000 0000 0000 / 0020 0000 0000 0000 / 0020 0000 0000 0000 / 0020 0000 0000 0000 / 0020 0000 0000 0000 / 0002 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 1006 0000 0000 0000 / 0010 0000 0000 0000 / 1012 0000 0000 0000 / 0000 0000 0000 0000 / 1021 0000 0000 0000 / 0000 0000 0000 0000 / 1015 0000 0000 0000 / 0000 0000 0000 0000 / 0030 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0034 0000 0000 0000 / 
0020 0000 0000 0000 / 0020 0000 0000 0000 / 0020 0000 0000 0000 / 0020 0000 0000 0000 / 0029 0000 0000 0000 / 0029 0000 0000 0000 / 0029 0000 0000 0000 / 0029 0000 0000 0000 / 0029 0000 0000 0000 / 0029 0000 0000 0000 / 0029 0000 0000 0000 / 0029 0000 0000 0000 / 0029 0000 0000 0000 / 0029 0000 0000 0000 / 0029 0000 0000 0000 / 0029 0000 0000 0000 / 0029 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0000 0000 0000 0000 / 0034 0000 0000 0000 / 
